,,,
0,986,992,992
2,987,993,991
3,989,993,991
5,989,992,990
6,991,991,989
8,985,990,988
10,994,988,988
11,987,988,988
13,989,988,988
15,989,988,987
16,986,988,987
23,991,988,988
31,982,988,988
39,988,987,988
48,987,987,987
56,986,986,987
64,990,987,986
72,984,987,986
81,989,986,987
90,984,986,986
98,986,986,986
106,988,986,986
115,984,986,986
124,991,986,986
134,984,987,986
143,988,987,986
153,987,987,986
162,985,987,986
172,990,986,986
181,982,987,986
190,989,986,986
199,988,987,986
208,988,987,986
219,992,987,986
228,985,988,986
237,992,988,987
246,987,988,987
256,989,988,987
265,991,988,987
274,987,988,988
284,995,988,988
293,989,989,988
303,992,989,989
312,992,990,989
321,989,990,990
330,994,990,990
339,989,991,990
350,995,991,991
359,994,991,991
368,993,992,991
377,996,993,991
387,991,993,992
396,998,993,992
405,994,994,992
415,995,994,993
424,997,994,993
434,992,995,993
443,1000,995,994
452,999,996,994
461,996,996,995
471,996,997,995
481,998,997,996
490,995,997,996
499,1001,997,996
508,1003,997,996
518,998,998,996
527,999,998,997
536,996,998,997
546,1001,998,998
556,1002,998,998
565,1002,998,998
574,998,998,998
583,1001,999,998
592,1003,999,998
602,1002,999,999
612,1002,1000,999
621,998,1000,999
631,1001,1001,999
641,1002,1000,999
650,1002,999,999
659,1003,999,999
668,999,998,999
678,1001,999,999
689,1001,999,1000
699,1001,999,999
708,1002,999,999
717,999,999,999
727,1000,999,999
737,1000,999,999
748,1000,999,998
758,1001,998,998
768,998,998,998
778,998,998,998
788,992,998,998
798,998,998,998
809,993,998,997
819,997,997,997
829,994,996,996
839,992,995,996
849,989,995,996
860,990,995,996
869,993,996,996
880,994,996,995
890,993,996,995
901,994,996,995
911,997,994,994
920,994,992,994
930,990,991,993
941,988,990,993
952,987,989,992
962,986,989,991
971,988,990,991
980,988,991,991
990,991,992,990
999,992,991,990
1009,993,990,990
1019,990,989,989
1030,988,987,989
1040,987,986,988
1050,985,986,988
1060,983,986,988
1071,984,987,988
1082,988,988,987
1092,989,989,987
1102,990,989,987
1113,991,988,987
1123,989,987,987
1133,987,985,987
1144,985,984,987
1155,984,984,986
1165,984,984,986
1175,984,985,986
1185,986,987,986
1196,989,988,986
1206,992,988,986
1217,993,988,986
1227,990,988,986
1238,989,986,986
1248,988,985,986
1258,987,985,986
1268,985,985,986
1280,986,986,986
1290,990,988,986
1300,991,990,987
1310,993,991,987
1320,994,991,988
1331,996,990,988
1342,993,989,988
1352,991,988,989
1362,990,988,989
1373,989,988,989
1383,991,989,990
1393,992,991,990
1403,994,993,990
1415,997,994,990
1425,998,994,991
1435,998,994,991
1445,998,993,992
1456,997,992,992
1466,995,991,993
1477,993,992,993
1487,996,993,993
1498,998,995,994
1508,999,996,994
1518,999,998,994
1528,1000,999,995
1539,998,998,995
1550,999,997,996
1560,999,997,996
1570,1000,996,996
1581,998,996,997
1591,998,997,997
1601,999,998,998
1612,1001,999,998
1623,998,1000,998
1633,998,1000,998
1643,999,1000,999
1653,1000,1000,999
1664,1000,1000,999
1674,1002,1000,999
1685,1000,1000,999
1695,1001,999,999
1705,1000,999,999
1716,999,998,999
1726,995,998,999
1737,997,998,999
1748,999,998,999
1759,999,999,999
1769,999,1000,999
1780,1000,999,999
1790,996,999,999
1801,996,999,999
1812,996,998,999
1823,997,998,998
1833,999,999,998
1844,998,998,998
1854,999,998,998
1865,997,996,997
1878,995,995,997
1889,991,993,996
1900,988,993,996
1911,991,993,996
1923,993,994,995
1933,994,995,995
1944,994,995,995
1954,995,995,994
1965,998,994,994
1975,993,992,993
1985,990,990,993
1996,989,989,993
2008,987,988,992
2018,985,988,991
2028,987,989,991
2038,989,991,991
2049,992,991,990
2059,992,991,990
2069,991,991,990
2080,989,989,989
2091,988,987,989
2101,986,985,989
2111,984,985,988
2121,984,985,988
2131,985,986,987
2143,988,987,987
2153,988,989,987
2163,991,989,987
2173,992,988,986
2184,989,987,986
2194,986,985,986
2204,985,984,986
2215,985,983,986
2226,984,983,986
2236,984,985,986
2246,987,986,986
2256,990,988,986
2267,991,988,986
2278,993,989,986
2288,991,988,986
2298,990,986,986
2309,989,985,986
2319,987,985,986
2329,986,985,986
2339,988,986,986
2351,990,988,987
2361,991,990,987
2371,993,991,987
2381,995,991,987
2392,997,991,988
2402,993,990,988
2413,992,989,988
2423,991,988,989
2434,989,989,989
2444,991,990,990
2454,993,991,990
2464,996,993,990
2476,997,994,990
2486,997,995,991
2496,999,995,991
2506,1000,994,992
2516,997,993,992
2527,998,993,993
2537,1000,993,993
2548,997,994,994
2558,998,995,994
2569,999,997,994
2579,1000,998,995
2589,997,999,995
2599,997,998,995
2611,999,998,996
2621,1001,998,996
2631,996,997,997
2641,997,997,997
2652,999,997,998
2662,1001,999,998
2672,1000,1000,998
2683,1002,1000,998
2694,999,1001,998
2704,999,1001,999
2715,1000,1000,999
2725,1000,1000,999
2736,1001,1000,999
2748,999,1000,999
2758,1000,1000,999
2768,1000,1000,999
2779,1000,1000,999
2790,997,1000,999
2800,996,999,999
2811,997,998,999
2822,999,998,999
2833,999,997,999
2843,999,997,999
2853,999,997,999
2864,1001,998,998
2876,996,998,998
2887,997,999,998
2898,998,999,998
2909,999,999,998
2919,998,997,997
2930,994,996,997
2942,992,994,997
2954,991,993,996
2964,989,992,996
2975,990,993,996
2987,993,994,995
2998,994,995,995
3009,994,995,995
3019,994,994,994
3030,994,993,994
3040,992,992,993
3050,989,990,993
3060,986,988,993
3070,986,988,992
3083,986,989,991
3093,988,989,991
3103,989,991,991
3113,991,992,990
3124,994,991,990
3134,991,990,990
3145,987,989,989
3155,987,987,989
3166,986,986,988
3176,984,985,988
3186,982,986,988
3196,985,987,987
3208,988,989,987
3218,990,989,987
3228,991,989,987
3238,990,989,986
3249,989,987,986
3259,987,985,986
3269,985,984,986
3280,984,984,986
3291,984,985,986
3301,986,986,986
3311,988,987,986
3321,990,989,986
3332,992,990,986
3343,993,989,986
3353,990,988,986
3363,989,987,986
3374,989,986,986
3384,987,986,986
3394,984,986,986
3405,988,988,986
3416,991,989,987
3426,993,991,987
3436,994,992,987
3446,995,992,988
3457,995,992,988
3467,994,990,989
3478,992,989,989
3488,990,989,989
3499,991,990,990
3509,993,991,990
3519,994,992,990
3529,996,994,991
3540,998,996,991
3551,1000,996,991
3561,995,996,992
3571,997,995,992
3581,999,994,992
3592,1000,993,993
3602,995,994,994
3613,998,995,994
3623,999,996,994
3634,1000,998,995
3644,996,999,995
3654,998,999,995
3664,999,999,995
3676,999,998,996
3686,1000,998,997
3696,998,997,997
3706,998,997,997
3717,999,998,998
3727,1001,999,998
3737,999,1000,998
3748,997,1000,998
3760,998,1000,998
3770,1000,1000,999
3780,1002,1000,999
3790,1001,1000,999
3802,998,1000,999
3813,998,1000,999
3823,998,1000,999
3833,1000,1000,999
3845,998,1000,999
3855,995,1000,999
3865,996,999,999
3876,998,998,999
3887,998,997,999
3898,998,997,999
3908,999,996,999
3918,1000,996,999
3929,995,997,999
3941,995,997,999
3951,997,998,998
3961,998,998,998
3972,998,997,998
3983,997,996,998
3994,994,994,997
4006,992,993,997
4017,990,992,997
4027,988,992,996
4037,990,993,996
4048,992,993,995
4059,992,995,995
4069,993,995,995
4080,994,994,994
4090,994,993,994
4101,990,991,993
4111,988,989,993
4121,987,988,993
4132,986,987,992
4144,986,988,992
4154,987,989,991
4164,989,990,991
4174,991,991,990
4185,993,990,990
4195,990,990,990
4206,988,988,989
4216,988,986,989
4227,985,985,989
4237,984,985,988
4247,982,985,988
4257,986,986,988
4268,988,987,987
4279,989,988,987
4289,991,989,987
4299,991,988,987
4310,990,987,987
4320,986,985,987
4330,986,984,986
4341,986,984,986
4352,983,984,986
4362,985,986,986
4372,988,988,986
4382,992,989,986
4392,992,989,986
4403,993,989,986
4414,990,989,986
4424,990,987,986
4434,989,986,986
4445,987,987,986
4455,986,987,987
4465,990,988,987
4476,992,990,987
4487,993,992,987
4497,994,992,987
4507,996,992,988
4517,997,991,988
4528,994,990,989
4539,992,989,989
4549,992,989,989
4559,992,990,989
4570,993,992,990
4580,995,994,990
4590,997,995,991
4600,999,996,991
4612,999,997,992
4622,999,996,992
4632,999,995,992
4642,998,994,993
4653,995,994,993
4663,995,995,994
4674,997,995,994
4684,999,997,995
4695,1000,998,995
4705,996,1000,995
4715,998,1000,996
4725,999,1000,996
4737,999,1000,996
4747,1001,999,997
4757,997,998,997
4767,998,999,997
4777,999,999,998
4788,1000,999,998
4798,1001,1000,998
4809,1001,1000,998